"Label (Grouping)","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming","Puerto Rico"
"Total:","3,917,166","554,003","5,541,976","2,312,273","30,827,105","4,509,576","2,869,227","783,543","575,161","17,339,232","8,220,274","1,155,905","1,376,400","9,999,469","5,192,579","2,450,103","2,229,316","3,483,900","3,570,548","1,110,085","4,815,202","5,663,723","7,914,602","4,389,033","2,277,599","4,775,612","850,123","1,476,127","2,413,326","1,120,680","7,281,310","1,638,989","16,088,135","8,155,099","596,093","9,207,562","3,010,698","3,370,652","10,353,548","887,594","4,014,460","669,255","5,384,473","21,866,700","2,324,051","524,482","6,745,054","6,024,689","1,432,932","4,612,300","441,337","2,724,903"
"    Population of one race:","3,751,169","500,671","4,875,350","2,175,566","26,832,028","4,039,219","2,648,584","735,632","532,702","14,638,985","7,737,712","911,662","1,280,567","9,243,906","4,926,255","2,345,280","2,059,933","3,333,651","3,390,241","1,067,262","4,506,654","5,253,507","7,516,298","4,190,252","2,207,098","4,513,555","804,373","1,391,504","2,126,547","1,069,090","6,653,993","1,333,163","14,819,702","7,708,023","571,597","8,793,288","2,696,494","3,076,781","9,866,356","819,583","3,827,458","643,144","5,120,178","18,325,577","2,157,567","499,124","6,303,145","5,496,473","1,378,760","4,397,431","413,558","1,368,270"
"        White alone","2,595,046","349,626","3,549,308","1,683,440","13,443,813","3,308,162","1,989,916","500,550","244,170","10,438,522","4,465,194","290,286","1,156,336","6,382,030","4,137,310","2,126,641","1,743,825","2,933,597","2,124,511","1,023,211","2,461,512","4,086,011","6,021,926","3,550,129","1,328,758","3,772,337","737,204","1,199,242","1,311,982","1,005,446","4,167,391","876,177","9,153,551","5,300,137","509,175","7,297,449","2,028,656","2,609,035","8,011,431","661,221","2,645,357","561,954","4,013,858","11,466,950","1,861,739","477,428","4,235,488","4,190,823","1,301,276","3,837,032","381,441","481,091"
"        Black or African American alone","981,723","17,297","247,633","333,515","1,757,768","175,400","294,102","164,887","226,137","2,419,026","2,488,419","19,085","10,454","1,373,943","467,861","88,101","125,260","268,710","1,073,754","16,949","1,404,055","374,739","1,031,144","260,434","802,963","518,166","4,039","67,094","226,025","14,841","936,123","34,444","2,326,865","1,639,043","17,982","1,085,613","216,160","62,346","1,070,165","46,356","971,344","11,645","817,496","2,627,714","26,919","6,392","1,242,045","230,367","52,688","263,609","3,895","194,545"
"        American Indian and Alaska Native alone","24,552","76,714","226,604","20,162","475,594","56,575","11,940","3,880","2,554","73,588","36,458","3,686","18,441","70,454","19,555","10,353","23,072","9,816","23,497","6,020","23,928","18,009","46,287","47,060","11,277","23,737","44,531","15,096","33,407","2,459","37,174","153,063","113,432","96,726","25,005","23,558","231,207","47,566","23,520","5,420","18,598","48,674","21,197","206,988","29,983","1,866","30,348","89,010","3,147","43,291","9,291","14,526"
"        Asian alone","60,508","34,638","205,298","40,043","4,970,407","158,934","134,023","33,396","31,093","520,293","369,718","466,207","21,519","601,201","125,824","57,149","66,372","55,369","68,753","13,430","334,516","409,577","260,085","215,605","26,016","105,360","6,828","39,166","228,281","28,172","745,070","30,378","1,562,776","259,521","10,366","230,222","70,077","158,577","400,676","31,719","71,009","10,005","104,794","1,219,232","63,947","9,191","481,424","589,367","12,377","126,833","4,271","3,351"
"        Native Hawaiian and Other Pacific Islander alone","2,115","8,249","11,803","8,394","120,850","7,488","1,207","312","369","10,734","5,320","110,416","2,650","3,426","2,221","3,552","2,362","2,528","1,476","360","2,495","1,915","2,305","2,058","848","6,619","709","1,093","18,266","351","2,716","1,610","8,308","6,220","682","3,597","5,347","13,690","3,289","402","2,462","430","2,950","23,781","23,909","155","5,374","44,998","365","1,657","411","471"
"        Some Other Race alone","87,225","14,147","634,704","90,012","6,063,596","332,660","217,396","32,607","28,379","1,176,822","372,603","21,982","71,167","812,852","173,484","59,484","99,042","63,631","98,250","7,292","280,148","363,256","154,551","114,966","37,236","87,336","11,062","69,813","308,586","17,821","765,519","237,491","1,654,770","406,376","8,387","152,849","145,047","185,567","357,275","74,465","118,688","10,436","159,883","2,780,912","151,070","4,092","308,466","351,908","8,907","125,009","14,249","674,286"
"    Population of two or more races:","165,997","53,332","666,626","136,707","3,995,077","470,357","220,643","47,911","42,459","2,700,247","482,562","244,243","95,833","755,563","266,324","104,823","169,383","150,249","180,307","42,823","308,548","410,216","398,304","198,781","70,501","262,057","45,750","84,623","286,779","51,590","627,317","305,826","1,268,433","447,076","24,496","414,274","314,204","293,871","487,192","68,011","187,002","26,111","264,295","3,541,123","166,484","25,358","441,909","528,216","54,172","214,869","27,779","1,356,633"
"        Population of two races:","158,371","49,597","640,037","131,244","3,766,358","446,117","209,187","45,097","38,841","2,624,092","455,691","164,522","91,776","720,723","254,684","100,547","162,106","143,503","169,215","41,056","286,635","388,464","378,406","188,133","66,497","250,163","43,817","80,820","268,377","49,357","596,186","295,399","1,189,434","420,656","23,458","390,293","299,973","276,283","459,561","63,156","177,182","25,003","252,224","3,443,781","157,826","24,302","413,594","493,034","51,883","205,256","26,564","1,277,372"
