# Date      2023_rel2 w/ seasonal signals and GIA removed (mm)
1992.96      -31.072
1992.985      -33.087
1993.01      -31.335
1993.039      -34.274
1993.064      -36.142
1993.096      -37.563
1993.119      -34.633
1993.147      -29.119
1993.175      -28.328
1993.202      -29.048
1993.229      -29.575
1993.283      -31.143
1993.311      -25.726
1993.338      -27.026
1993.365      -26.149
1993.392      -30.167
1993.419      -30.73
1993.446      -27.795
1993.474      -25.014
1993.501      -25.162
1993.528      -24.654
1993.582      -30.244
1993.61      -28.981
1993.637      -25.995
1993.664      -24.866
1993.691      -27.58
1993.717      -30.077
1993.745      -28.174
1993.772      -24.559
1993.799      -27.09
1993.854      -27.014
1993.881      -29.314
1993.908      -27.899
1993.935      -25.987
1993.963      -21.927
1993.989      -22.972
1994.017      -29.114
1994.044      -26.461
1994.071      -25.142
1994.098      -27.875
1994.126      -28.69
1994.153      -26.835
1994.18      -22.973
1994.234      -24.245
1994.261      -22.724
1994.289      -21.787
1994.316      -21.035
1994.343      -24.315
1994.37      -25.482
1994.397      -28.271
1994.424      -25.013
1994.451      -21.274
1994.506      -28.264
1994.533      -24.786
1994.56      -24.107
1994.587      -23.545
1994.615      -23.713
1994.642      -23.143
1994.669      -24.467
1994.696      -22.972
1994.723      -24.952
1994.75      -26.352
1994.777      -25.433
1994.805      -21.494
1994.832      -22.563
1994.886      -26.876
1994.913      -28.311
1994.941      -21.741
1994.968      -20.855
1994.995      -21.046
1995.022      -21.024
1995.049      -22.54
1995.076      -17.518
1995.104      -21.263
1995.131      -24.289
1995.158      -21.266
1995.212      -17.193
1995.239      -23.343
1995.267      -20.786
1995.294      -19.979
1995.321      -20.896
1995.375      -23.177
1995.402      -20.947
1995.429      -17.158
1995.457      -19.923
1995.484      -23.728
1995.538      -26.408
1995.565      -24.644
1995.593      -23.921
1995.62      -22.228
1995.647      -24.722
1995.674      -23.903
1995.701      -21.175
1995.728      -15.767
1995.756      -21.346
1995.783      -23.734
1995.837      -24.537
1995.864      -23.89
1995.89      -21.647
1995.946      -23.861
1995.973      -18.321
1996.0      -21.659
1996.027      -23.724
1996.053      -22.558
1996.081      -23.318
1996.108      -18.341
1996.163      -19.333
1996.19      -21.498
1996.217      -18.565
1996.244      -17.68
1996.271      -20.043
1996.298      -21.038
1996.325      -20.442
1996.352      -19.719
1996.379      -19.233
1996.406      -17.391
1996.433      -18.669
1996.488      -18.56
1996.515      -19.232
1996.542      -18.747
1996.569      -16.559
1996.596      -18.683
1996.623      -21.958
1996.65      -23.383
1996.677      -24.924
1996.704      -21.231
1996.732      -19.068
1996.759      -18.21
1996.813      -15.066
1996.84      -13.113
1996.867      -16.518
1996.894      -22.241
1996.921      -21.297
1996.948      -20.221
1996.975      -25.016
1997.002      -24.436
1997.03      -20.53
1997.057      -22.533
1997.084      -20.646
1997.138      -22.187
1997.165      -21.534
1997.193      -21.737
1997.22      -18.758
1997.247      -17.287
1997.274      -17.559
1997.301      -19.994
1997.328      -17.851
1997.356      -14.665
1997.383      -17.196
1997.41      -15.373
1997.464      -17.91
1997.491      -15.742
1997.519      -13.812
1997.546      -10.328
1997.573      -13.389
1997.627      -14.76
1997.654      -12.985
1997.681      -12.077
1997.709      -9.445
1997.736      -9.953
1997.79      -13.228
1997.817      -11.936
1997.845      -10.194
1997.872      -14.625
1997.899      -15.644
1997.926      -13.986
1997.953      -18.604
1997.98      -14.455
1998.008      -15.176
1998.035      -13.269
1998.089      -15.712
1998.116      -15.825
1998.143      -15.201
1998.171      -15.626
1998.198      -13.636
1998.225      -13.39
1998.252      -15.967
1998.279      -12.702
1998.306      -13.293
1998.334      -13.15
1998.361      -15.828
1998.415      -20.085
1998.442      -19.14
1998.469      -18.392
1998.497      -16.072
1998.524      -17.172
1998.551      -21.438
1998.605      -20.113
1998.632      -22.462
1998.659      -19.843
1998.687      -20.196
1998.714      -22.779
1998.741      -23.054
1998.768      -22.835
1998.823      -19.821
1998.85      -22.66
1998.877      -23.59
1998.904      -25.582
1998.931      -19.14
1998.958      -20.923
1998.986      -19.673
1999.013      -21.857
1999.04      -19.659
1999.094      -23.61
1999.125      -9.843
1999.149      -14.769
1999.176      -15.815
1999.203      -17.847
1999.23      -15.293
1999.257      -14.898
1999.284      -15.197
1999.339      -16.298
1999.366      -16.826
1999.393      -18.034
1999.42      -14.101
1999.447      -17.301
1999.475      -16.578
1999.502      -14.668
1999.529      -14.708
1999.556      -16.079
1999.583      -14.156
1999.61      -16.92
1999.637      -13.331
1999.692      -15.646
1999.719      -12.143
1999.746      -13.759
1999.773      -10.445
1999.801      -12.3
1999.828      -15.47
1999.855      -17.483
1999.882      -14.456
1999.909      -13.854
1999.964      -10.569
1999.991      -10.449
2000.018      -13.002
2000.045      -12.241
2000.072      -9.264
2000.099      -12.172
2000.126      -14.18
2000.153      -12.293
2000.18      -14.357
2000.207      -15.187
2000.234      -8.897
2000.289      -12.824
2000.316      -14.062
2000.343      -15.394
2000.37      -14.502
2000.397      -13.817
2000.424      -12.327
2000.451      -13.508
